Region,Month,PM2.5,NO2,SO2,O3,Respiratory_Cases
North,1,86.46078518951497,34.00157208367223,27.829903872845914,66.89071839041749,182.91041429844995
North,2,45.34083180185384,39.50088417525589,18.78914233361842,38.76137377847731,143.64982094208148
North,3,62.16065356741317,44.54273506962975,26.088301801175948,41.46010019791394,153.25830100783725
North,4,65.005114910614,44.94079073157606,18.358733889873594,43.756812419810814,141.41216383247416
North,5,21.705152762488822,36.53618595440361,26.915489590876046,31.094019755122694,150.70659942137672
North,6,38.18451488101853,30.45758517301446,18.50252919979333,58.393350572301486,155.42716877768294
North,7,62.324211385453744,33.781625196021736,12.897714018959098,16.230442381312876,134.3657922164141
North,8,62.3452345365597,42.30290680727721,29.61903879027529,35.352078191104575,143.94317500668487
North,9,44.27170552399361,15.799820628210249,6.349838474999899,63.40930474278147,135.42989978805738
North,10,53.4288854758322,17.472046399500737,26.21992284665528,20.633225829304582,131.55052070155023
North,11,46.568001582094865,33.86902497859262,15.913558899449015,25.832413790531056,134.4602633722741
North,12,66.42497805795627,30.66517222383168,22.41977518191825,32.388134875828435,141.03403198901782
South,1,49.91309328336074,26.404468384594587,13.494829743644367,19.28460877201988,134.15525801877115
South,2,53.97328595687607,13.698016530339554,23.702258044206193,29.112419627401096,135.95232333942067
South,3,70.93635843266306,31.289829107574107,29.115205476346404,25.182090155756168,149.122073200717
South,4,49.7278486358953,21.292028508181183,15.369202681884676,36.261369614471526,137.12652973082174
South,5,42.52275238824966,39.008264869541875,23.72529951784368,21.565075764673317,148.5353285483506
South,6,88.43833764045874,41.78779571159651,18.56060131350119,27.15096854187349,164.27876216172635
South,7,53.95234579540231,42.224450703824274,21.666199824614882,51.71966843780456,151.27201294447266
South,8,70.59859752287922,30.105000207208203,34.28696395124668,41.52294511244344,154.16591261389803
South,9,88.24726045584381,16.522409388575536,9.836120012114131,51.632760497896136,143.3455921594913
South,10,89.15431778473939,25.863810192402525,14.020361508473938,63.07530431776462,175.96426451289727
South,11,88.01338440639854,39.060446582753855,13.11019451956238,62.9207794371884,160.52466265270917
South,12,72.03684593694592,39.47251967773748,18.759919255273328,47.36895244415297,162.01798668476437
East,1,65.64638296733445,19.005992094158053,22.385905393648446,55.91663076024436,142.1276527758899
East,2,57.75548189508494,25.648464482783623,34.79410982783473,48.06753708414922,150.20617612503005
East,3,48.45125888332025,35.392491912918175,14.605338714740991,40.381966699292214,133.6756650333847
East,4,70.1464994241975,35.76590816614941,18.33360995537604,44.75208055193974,139.54015147672337
East,5,37.63113610941592,34.39391701264537,21.333387962980233,47.620377242705274,162.18213756404444
East,6,74.1671923048562,20.871777745558415,28.936130304766824,24.209111073861745,139.38173277554225
East,7,58.97637592013053,47.133427216493665,14.04196142361248,30.082737536091827,142.46172797028544
East,8,50.04782570456839,41.26635922106507,11.360547933092613,26.230376171066773,132.89936932322533
East,9,52.529513239615426,49.29532053816986,27.595366455406086,41.05061489662229,133.6912353297058
East,10,72.6654446460232,19.997846526104354,7.641831225779107,54.25635750822762,153.27626365792483
East,11,73.81288235671228,33.187276529430214,26.85464489522153,32.18769288039824,138.16195218436795
East,12,70.2239177742244,21.96590335826159,14.483601777998395,34.53360995779188,144.46598253673005
West,1,54.69009133119774,16.25048706581981,14.851052777336875,13.319162173306879,136.8593023856407
West,2,35.969135165898784,18.956166605715495,20.417320634087794,31.125244043304242,144.98833861797002
West,3,40.60714635414827,32.670508693491826,19.685737454180035,25.98287802710563,137.7731640392249
West,4,57.42680503166628,37.717905512136674,26.58803323170985,65.95883139136828,166.32603535003923
West,5,54.462272430863344,27.606208224240735,28.797276767096903,47.863164768671176,150.94614298548044
West,6,35.745659335337486,29.756738756010645,14.09575272635449,43.35909518851886,133.68541141809865
West,7,73.65268362138887,33.17218215191302,26.29062369687181,34.40297083916868,139.60100094119343
West,8,53.849254601961775,29.829795861385595,23.033213884440656,67.11170740829023,149.51992310738655
West,9,45.66082499260835,26.540182243006136,16.291232202831246,45.77777768528155,123.5268528270659
West,10,60.948929913004974,31.565065379653756,21.857448289602207,32.83220717241565,140.34877472445757
West,11,38.63908636526203,25.06680116637806,15.657108191866257,44.9926005551371,123.97066144688907
West,12,71.7179715256499,44.94484544491369,3.4401197998917397,45.11510476933721,158.3237814603355
Central,1,50.438444616716566,26.027281856712023,18.936955379304354,36.42650944717926,135.11235289964202
Central,2,34.859942905050346,41.5233156478312,28.63694873629457,30.239628889549564,119.51998055405556
Central,3,67.81597314679138,24.24212030186934,21.135625306566237,36.16805899425886,151.85418105872657
Central,4,70.42123715484009,22.74402621536416,8.933088356839557,21.004739231979016,146.0158245013586
Central,5,42.167111133239565,24.931836457013127,15.229487692395935,39.369192444765446,115.82412018890261
Central,6,62.83167895190743,35.23891023834206,20.70737669635729,36.26936593961834,146.10600274264044
Central,7,65.98569518460195,2.2740724357334976,35.64729846600555,44.68111987225512,137.29407254539439
Central,8,54.13569937218598,34.93741777349189,19.071168487725068,15.631786386622068,155.8833446819251
Central,9,58.34189014151291,40.201727117158,14.463601217724872,58.43652465094957,153.21785588601693
Central,10,69.13265751713176,19.54746633853045,29.68916231746161,48.27781797441746,162.0332801942802
Central,11,50.57868660537632,25.189728815392122,38.431333581471534,27.279810127341435,135.93699979479533
Central,12,77.05337043904044,30.977249677148556,24.663629438026348,35.206611648845495,153.74570342797736
